FragmentID	PGF.NH	COX.NH	CIGAR	NM	XG
WTCHG_18627:2:100:11419:18002	1	1	S	0	A0
WTCHG_18627:2:100:11425:10366	1	1	S	0	A0
WTCHG_18627:2:100:11429:17968	1	1	S	0	A0
WTCHG_18627:2:100:11430:2668	1	1	S	0	A0
WTCHG_18627:2:100:11455:8579	1	1	S	0	A0
WTCHG_18627:2:100:11471:7263	1	1	S	0	A0
WTCHG_18627:2:100:11474:10631	1	1	S	0	A0
WTCHG_18627:2:100:11490:8662	1	1	S	0	A0
WTCHG_18627:2:100:1150:8635	1	1	S	0	A0
WTCHG_18627:2:100:1150:9287	1	1	S	0	A0
WTCHG_18627:2:100:11516:5492	1	1	S	0	A0
WTCHG_18627:2:100:11522:2898	1	1	S	0	A0
WTCHG_18627:2:100:11542:15365	1	1	S	0	A0
WTCHG_18627:2:100:11543:13752	1	1	S	0	A0
WTCHG_18627:2:100:11546:18941	1	1	S	0	A0
WTCHG_18627:2:100:11549:10482	1	1	S	0	A0
WTCHG_18627:2:100:11557:17786	1	1	S	0	A0
WTCHG_18627:2:100:11572:3123	1	1	S	0	A0
WTCHG_18627:2:100:11586:17450	1	1	S	0	A0
WTCHG_18627:2:100:11610:9117	1	1	S	0	A0
WTCHG_18627:2:100:11612:18402	1	1	S	0	A0
WTCHG_18627:2:100:11617:2380	1	1	S	0	A0
WTCHG_18627:2:100:11627:6701	1	1	S	0	A0
WTCHG_18627:2:100:11628:9765	1	1	S	0	A0
WTCHG_18627:2:100:11631:4849	1	1	S	0	A0
WTCHG_18627:2:100:1163:18909	1	1	S	0	A0
WTCHG_18627:2:100:11647:10528	1	1	S	0	A0
WTCHG_18627:2:100:11649:8167	1	1	S	0	A0
WTCHG_18627:2:100:11659:13958	1	1	S	0	A0
WTCHG_18627:2:100:11662:16661	1	1	S	0	A0
WTCHG_18627:2:100:11670:2701	1	1	S	0	A0
WTCHG_18627:2:100:11684:11171	1	1	S	0	A0
WTCHG_18627:2:100:11719:20963	1	1	S	0	A0
WTCHG_18627:2:100:11724:11576	1	1	S	0	A0
